target,candidate,horizon,window,n_forecasts,rmse_ratio,direction_accuracy,clark_west_one_sided_p,clark_west_fdr_q
cpi_L7GM_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar1,63,1.0040147456061743,0.5873015873015873,0.0918653320911726,0.3674613283646907
cpi_L7GM_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar1,61,1.03084782512835,0.6065573770491803,0.5144018384337997,0.9245057073474164
cpi_L7GM_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar1,24,1.0026881840048616,0.5,0.4193571010356783,0.5591428013809044
cpi_L7GM_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar1,23,1.0493665040360087,0.5652173913043478,0.9220979639310456,0.9777920834118632
cpi_L7GM_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar1,21,1.0325756227483007,0.5714285714285714,0.2962463243687406,0.9245057073474164
cpi_L7GM_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar1,65,1.0185668377611248,0.6,0.9616744906190496,0.9616744906190496
cpi_L7GM_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar1,63,1.0162082543212771,0.6031746031746031,0.9777920834118632,0.9777920834118632
cpi_L7GM_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar1,61,1.0221309290863907,0.5737704918032787,0.9124643608139263,0.9245057073474164
cpi_L7GM_12m_pct,hk_ppi_tech_12m_pct,1,expanding_ar1,65,1.0056586050252574,0.5384615384615384,0.3793623934626277,0.5591428013809044
cpi_L7GM_12m_pct,hk_ppi_tech_12m_pct,2,expanding_ar1,63,0.9982182936678164,0.5873015873015873,0.3236085624344679,0.6472171248689358
cpi_L7GM_12m_pct,hk_ppi_tech_12m_pct,3,expanding_ar1,61,1.010728482301666,0.5573770491803278,0.9245057073474164,0.9245057073474164
cpi_L7GP_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,65,1.0453604949705058,0.4461538461538462,0.9656655500532976,0.9656655500532976
cpi_L7GP_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar1,63,1.0846701651873276,0.5238095238095238,0.9228452517561228,0.9228452517561228
cpi_L7GP_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar1,61,1.1121467731598158,0.4426229508196721,0.8976279669438926,0.8976279669438926
cpi_L7GP_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar1,24,0.8766730153088395,0.6666666666666666,0.0364048603530511,0.1456194414122047
cpi_L7GP_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar1,23,0.7574165933821727,0.6956521739130435,0.0490915982559713,0.1963663930238855
cpi_L7GP_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar1,21,0.7244464824390976,0.7142857142857143,0.0476154834875933,0.1904619339503735
cpi_L7GP_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar1,65,1.0090338870315638,0.5384615384615384,0.40552017208974,0.81104034417948
cpi_L7GP_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar1,63,1.047793008252764,0.5714285714285714,0.6672951437886839,0.9228452517561228
cpi_L7GP_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar1,61,1.073564279373251,0.5081967213114754,0.7541211561005938,0.8976279669438926
cpi_L7GP_12m_pct,hk_ppi_tech_12m_pct,1,expanding_ar1,65,1.0071564946389246,0.4615384615384615,0.6351584943075994,0.8468779924101325
cpi_L7GP_12m_pct,hk_ppi_tech_12m_pct,2,expanding_ar1,63,1.0135037136777243,0.5079365079365079,0.7860372675291688,0.9228452517561228
cpi_L7GP_12m_pct,hk_ppi_tech_12m_pct,3,expanding_ar1,61,1.0111837451736578,0.4262295081967213,0.6583342399325076,0.8976279669438926
cpi_L7GQ_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,65,1.0262084648627845,0.5538461538461539,0.976891232990976,0.976891232990976
cpi_L7GQ_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar1,63,1.0564679245362842,0.5079365079365079,0.9474657178552176,0.9474657178552176
cpi_L7GQ_12m_pct,jp_epi_electronics_yen_12m_pct,3,expanding_ar1,61,1.0626131190750092,0.5409836065573771,0.911144072441654,0.9153034735254556
cpi_L7GQ_12m_pct,kr_epi_tech_12m_pct,1,expanding_ar1,24,1.0414323743829772,0.5,0.8543946705623198,0.976891232990976
cpi_L7GQ_12m_pct,kr_epi_tech_12m_pct,2,expanding_ar1,23,1.0371704263156374,0.6086956521739131,0.7706776251573052,0.9474657178552176
cpi_L7GQ_12m_pct,kr_epi_tech_12m_pct,3,expanding_ar1,21,1.015590553225041,0.6190476190476191,0.9153034735254556,0.9153034735254556
cpi_L7GQ_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,1,expanding_ar1,65,0.9961693232534424,0.6,0.1666105217585121,0.6664420870340487
cpi_L7GQ_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,2,expanding_ar1,63,0.998936615091264,0.5396825396825397,0.3340083090317828,0.8210057925480907
cpi_L7GQ_12m_pct,tw_epi_integrated_circuits_twd_12m_pct,3,expanding_ar1,61,1.0038368218920215,0.5737704918032787,0.1751842375022232,0.5996386922683716
cpi_L7GQ_12m_pct,hk_ppi_tech_12m_pct,1,expanding_ar1,65,1.0066765978906371,0.6153846153846154,0.6655435957631618,0.976891232990976
cpi_L7GQ_12m_pct,hk_ppi_tech_12m_pct,2,expanding_ar1,63,1.0050876999201217,0.5555555555555556,0.4105028962740453,0.8210057925480907
cpi_L7GQ_12m_pct,hk_ppi_tech_12m_pct,3,expanding_ar1,61,0.9994719558538286,0.5737704918032787,0.2998193461341858,0.5996386922683716
cpi_L7GR_12m_pct,jp_epi_electronics_yen_12m_pct,1,expanding_ar1,65,1.0296054142423818,0.676923076923077,0.3928243301288276,0.5237657735051036
cpi_L7GR_12m_pct,jp_epi_electronics_yen_12m_pct,2,expanding_ar1,63,1.0420478416770314,0.6031746031746031,0.4584480675936808,0.5352296593320129
