target,candidate,horizon,window,n_forecasts,rmse_ratio,direction_accuracy,clark_west_one_sided_p,clark_west_fdr_q
ex_games_12m_pct,uk_ipi_c261_12m_pct,3,expanding_ar1,61,1.0104723665056905,0.6557377049180327,0.6153422740612096,0.7384107288734515
ex_games_12m_pct,uk_ipi_c261_12m_pct,4,expanding_ar1,59,1.0145994311559254,0.711864406779661,0.6533852585619804,0.7840623102743765
ex_games_12m_pct,uk_ipi_c261_12m_pct,5,expanding_ar1,57,1.0642066815368163,0.7017543859649122,0.8089792783364403,0.8089792783364403
ex_games_12m_pct,uk_ipi_c261_12m_pct,6,expanding_ar1,55,1.091093837023606,0.7636363636363637,0.8131762259243646,0.8131762259243646
ex_games_12m_pct,uk_ipi_c261_12m_pct,7,expanding_ar1,53,1.0759907477423274,0.6981132075471698,0.6196108431371423,0.7435330117645708
ex_games_12m_pct,uk_ipi_c261_12m_pct,8,expanding_ar1,51,1.1221286427578705,0.7450980392156863,0.6340306019706061,0.6340306019706061
ex_games_12m_pct,uk_ipi_c261_12m_pct,9,expanding_ar1,49,1.014981783924762,0.7346938775510204,0.2088281400711365,0.2088281400711365
ex_games_12m_pct,uk_ipi_c261_12m_pct,10,expanding_ar1,47,0.99901333025785,0.8085106382978723,0.2482688747201438,0.2979226496641725
ex_games_12m_pct,uk_ipi_c261_12m_pct,11,expanding_ar1,45,0.9730097832511794,0.8888888888888888,0.2113610150663875,0.4227220301327751
ex_games_12m_pct,uk_ipi_c261_12m_pct,12,expanding_ar1,43,1.0002898636537287,0.8372093023255814,0.3904340671366431,0.7808681342732863
ex_games_12m_pct,uk_ipi_c261_noneu_12m_pct,1,expanding_ar1,65,1.002613269900949,0.6,0.8329664280938792,0.8329664280938792
ex_games_12m_pct,uk_ipi_c261_noneu_12m_pct,2,expanding_ar1,63,1.0081055869686708,0.5873015873015873,0.9561042567699826,0.9561042567699826
ex_games_12m_pct,uk_ipi_c261_noneu_12m_pct,3,expanding_ar1,61,1.0095212595530096,0.6557377049180327,0.9899563701272872,0.9899563701272872
ex_games_12m_pct,uk_ipi_c261_noneu_12m_pct,4,expanding_ar1,59,1.0281748028184188,0.7627118644067796,0.9742027580499204,0.9742027580499204
ex_games_12m_pct,uk_ipi_c261_noneu_12m_pct,5,expanding_ar1,57,1.017179319704214,0.7894736842105263,0.7474853678550548,0.8089792783364403
ex_games_12m_pct,uk_ipi_c261_noneu_12m_pct,6,expanding_ar1,55,1.0161631016198736,0.8727272727272727,0.6044940480837996,0.7253928577005595
ex_games_12m_pct,uk_ipi_c261_noneu_12m_pct,7,expanding_ar1,53,1.0255366522258862,0.7924528301886793,0.9745603164892748,0.9745603164892748
ex_games_12m_pct,uk_ipi_c261_noneu_12m_pct,8,expanding_ar1,51,0.9571943340887556,0.8627450980392157,0.1581594024416808,0.1897912829300169
ex_games_12m_pct,uk_ipi_c261_noneu_12m_pct,9,expanding_ar1,49,0.8991017989046121,0.7959183673469388,0.0955114962764053,0.2088281400711365
ex_games_12m_pct,uk_ipi_c261_noneu_12m_pct,10,expanding_ar1,47,0.8577588593492604,0.8297872340425532,0.0955743408767438,0.2979226496641725
ex_games_12m_pct,uk_ipi_c261_noneu_12m_pct,11,expanding_ar1,45,0.9270856188365726,0.9111111111111112,0.090469904274775,0.4227220301327751
ex_games_12m_pct,uk_ipi_c261_noneu_12m_pct,12,expanding_ar1,43,1.0963696401465295,0.8604651162790697,0.1330108025226228,0.7808681342732863
ex_games_12m_pct,uk_ipi_c262_12m_pct,1,expanding_ar1,57,1.0064741486752986,0.631578947368421,0.1681540068710669,0.2625796603000857
ex_games_12m_pct,uk_ipi_c262_12m_pct,2,expanding_ar1,56,0.980907675804258,0.7321428571428571,0.0312208965834202,0.1296709092295092
ex_games_12m_pct,uk_ipi_c262_12m_pct,3,expanding_ar1,55,0.9416250124053036,0.7818181818181819,0.0046424047307526,0.0278544283845161
ex_games_12m_pct,uk_ipi_c262_12m_pct,4,expanding_ar1,54,0.9557038917127048,0.7962962962962963,0.0062616214192613,0.0375697285155681
ex_games_12m_pct,uk_ipi_c262_12m_pct,5,expanding_ar1,53,0.9307201812629228,0.8301886792452831,0.0042231368392296,0.025338821035378
ex_games_12m_pct,uk_ipi_c262_12m_pct,6,expanding_ar1,52,1.028514007180878,0.7692307692307693,0.014846348032764,0.0543986547936114
ex_games_12m_pct,uk_ipi_c262_12m_pct,7,expanding_ar1,51,1.2723677361064738,0.8235294117647058,0.0384512973926793,0.0937081617368028
ex_games_12m_pct,uk_ipi_c262_12m_pct,8,expanding_ar1,50,1.5695936033388729,0.8,0.0761916031398472,0.1625599364166767
