date,year,component_id,component_label,country,value,net_mass
2019-07-01,2019,D7EO,Photographic and optical equipment,China,22631329.0,660860.0
2019-07-01,2019,D7EO,Photographic and optical equipment,Hong Kong,7664118.0,111975.0
2019-07-01,2019,D7EO,Photographic and optical equipment,Japan,2117093.0,6687.0
2019-07-01,2019,D7EO,Photographic and optical equipment,South Korea,1139883.0,18608.0
2019-07-01,2019,D7EO,Photographic and optical equipment,Taiwan,1660314.0,11863.0
2019-08-01,2019,D7EO,Photographic and optical equipment,China,19821849.0,499644.0
2019-08-01,2019,D7EO,Photographic and optical equipment,Hong Kong,5426406.0,96661.0
2019-08-01,2019,D7EO,Photographic and optical equipment,Japan,1701516.0,7494.0
2019-08-01,2019,D7EO,Photographic and optical equipment,South Korea,1533421.0,21923.0
2019-08-01,2019,D7EO,Photographic and optical equipment,Taiwan,1093280.0,10911.0
2019-09-01,2019,D7EO,Photographic and optical equipment,China,19002885.0,563801.0
2019-09-01,2019,D7EO,Photographic and optical equipment,Hong Kong,5903639.0,103879.0
2019-09-01,2019,D7EO,Photographic and optical equipment,Japan,2772745.0,5864.0
2019-09-01,2019,D7EO,Photographic and optical equipment,South Korea,1566731.0,23147.0
2019-09-01,2019,D7EO,Photographic and optical equipment,Taiwan,1347742.0,11971.0
2019-10-01,2019,D7EO,Photographic and optical equipment,China,27523413.0,838303.0
2019-10-01,2019,D7EO,Photographic and optical equipment,Hong Kong,6191086.0,107290.0
2019-10-01,2019,D7EO,Photographic and optical equipment,Japan,1776147.0,3418.0
2019-10-01,2019,D7EO,Photographic and optical equipment,South Korea,1310287.0,15975.0
2019-10-01,2019,D7EO,Photographic and optical equipment,Taiwan,910943.0,6633.0
2019-11-01,2019,D7EO,Photographic and optical equipment,China,25558450.0,744880.0
2019-11-01,2019,D7EO,Photographic and optical equipment,Hong Kong,7166391.0,151521.0
2019-11-01,2019,D7EO,Photographic and optical equipment,Japan,2021397.0,4716.0
2019-11-01,2019,D7EO,Photographic and optical equipment,South Korea,1035178.0,15370.0
2019-11-01,2019,D7EO,Photographic and optical equipment,Taiwan,1582977.0,11999.0
2019-12-01,2019,D7EO,Photographic and optical equipment,China,21606073.0,535842.0
2019-12-01,2019,D7EO,Photographic and optical equipment,Hong Kong,8506044.0,194841.0
2019-12-01,2019,D7EO,Photographic and optical equipment,Japan,2182929.0,3481.0
2019-12-01,2019,D7EO,Photographic and optical equipment,South Korea,1053985.0,10977.0
2019-12-01,2019,D7EO,Photographic and optical equipment,Taiwan,1318620.0,12855.0
2020-01-01,2020,D7EO,Photographic and optical equipment,China,24594179.0,674614.0
2020-01-01,2020,D7EO,Photographic and optical equipment,Hong Kong,6438325.0,113785.0
2020-01-01,2020,D7EO,Photographic and optical equipment,Japan,1327695.0,1897.0
2020-01-01,2020,D7EO,Photographic and optical equipment,South Korea,1760271.0,24303.0
2020-01-01,2020,D7EO,Photographic and optical equipment,Taiwan,932226.0,7865.0
2020-02-01,2020,D7EO,Photographic and optical equipment,China,16383049.0,484714.0
2020-02-01,2020,D7EO,Photographic and optical equipment,Hong Kong,4333834.0,67306.0
2020-02-01,2020,D7EO,Photographic and optical equipment,Japan,1120717.0,2493.0
2020-02-01,2020,D7EO,Photographic and optical equipment,South Korea,1131421.0,11832.0
2020-02-01,2020,D7EO,Photographic and optical equipment,Taiwan,881743.0,11282.0
2020-03-01,2020,D7EO,Photographic and optical equipment,China,11655800.0,200678.0
2020-03-01,2020,D7EO,Photographic and optical equipment,Hong Kong,5389436.0,82906.0
2020-03-01,2020,D7EO,Photographic and optical equipment,Japan,1511327.0,2644.0
2020-03-01,2020,D7EO,Photographic and optical equipment,South Korea,1505333.0,13504.0
2020-03-01,2020,D7EO,Photographic and optical equipment,Taiwan,774828.0,6106.0
2020-04-01,2020,D7EO,Photographic and optical equipment,China,18960042.0,276199.0
2020-04-01,2020,D7EO,Photographic and optical equipment,Hong Kong,8735044.0,135553.0
2020-04-01,2020,D7EO,Photographic and optical equipment,Japan,1303475.0,1752.0
2020-04-01,2020,D7EO,Photographic and optical equipment,South Korea,610461.0,13184.0
2020-04-01,2020,D7EO,Photographic and optical equipment,Taiwan,1053651.0,8616.0
2020-05-01,2020,D7EO,Photographic and optical equipment,China,23612023.0,434477.0
2020-05-01,2020,D7EO,Photographic and optical equipment,Hong Kong,9074815.0,126102.0
2020-05-01,2020,D7EO,Photographic and optical equipment,Japan,1047002.0,1445.0
2020-05-01,2020,D7EO,Photographic and optical equipment,South Korea,690200.0,9899.0
2020-05-01,2020,D7EO,Photographic and optical equipment,Taiwan,716287.0,5396.0
2020-06-01,2020,D7EO,Photographic and optical equipment,China,23159140.0,657108.0
2020-06-01,2020,D7EO,Photographic and optical equipment,Hong Kong,8763190.0,116900.0
2020-06-01,2020,D7EO,Photographic and optical equipment,Japan,969740.0,1279.0
2020-06-01,2020,D7EO,Photographic and optical equipment,South Korea,1287489.0,10586.0
2020-06-01,2020,D7EO,Photographic and optical equipment,Taiwan,939787.0,7055.0
2020-07-01,2020,D7EO,Photographic and optical equipment,China,23925990.0,660169.0
2020-07-01,2020,D7EO,Photographic and optical equipment,Hong Kong,14898962.0,174575.0
