channel,outcome,impulse,horizon,n_baseline,response_pp_per_one_sd_baseline,response_pp_per_one_unit_baseline,standard_error_baseline,lower_90_baseline,upper_90_baseline,p_value_baseline,fdr_q_baseline,n_covid_dummy,response_pp_per_one_sd_covid_dummy,response_pp_per_one_unit_covid_dummy,standard_error_covid_dummy,lower_90_covid_dummy,upper_90_covid_dummy,p_value_covid_dummy,fdr_q_covid_dummy,delta_n,delta_response_pp_per_one_sd,delta_response_pp_per_one_unit,delta_standard_error,delta_lower_90,delta_upper_90,delta_p_value,delta_fdr_q
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,3,154,-0.7651129156193502,-0.1426532526779466,0.4377632408431746,-1.4852334468063724,-0.044992384432328,0.0805024944174714,0.0966029933009657,154,-0.7817675329264477,-0.14575846144185914,0.4346002360495611,-1.4966849212279758,-0.06685014462491967,0.07204718175779924,0.08677689703261804,0,-0.016654617307097497,-0.0031052087639125425,-0.0031630047936134775,-0.011451474421603436,-0.02185776019259167,-0.008455312659672157,-0.009826096268347656
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,4,153,-0.848375054312275,-0.1581772553016028,0.536945743851348,-1.7316508029477424,0.0349006943231924,0.1141065342175608,0.1244798555100663,153,-0.9052176452066105,-0.16877540404041325,0.5192337233155092,-1.7593571200606233,-0.051078170352597874,0.08126861882376747,0.0886566750804736,0,-0.05684259089433552,-0.010598148738810459,-0.017712020535838757,-0.02770631711288085,-0.08597886467579027,-0.03283791539379333,-0.03582318042959269
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,5,152,-1.092032600187019,-0.2036065517478947,0.6035623424196571,-2.084892653467355,-0.099172546906683,0.0704025428506863,0.0938700571342484,152,-1.1892888069114604,-0.22173971085308328,0.5775689065586174,-2.139389658200386,-0.2391879556225348,0.03948189536083015,0.059222843041245234,0,-0.09725620672444135,-0.01813315910518859,-0.02599343586103975,-0.05449700473303132,-0.1400154087158518,-0.030920647489856144,-0.03464721409300316
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,6,151,-1.3370630072452163,-0.2492918144826872,0.5866101208014454,-2.3020366559635943,-0.3720893585268389,0.0226489789107081,0.0388268209897853,151,-1.472018151956797,-0.27445383954554464,0.5406660638691687,-2.3614138270215794,-0.5826224768920144,0.006477016425645198,0.011103456729677483,0,-0.13495514471158065,-0.025162025062857446,-0.045944056932276656,-0.05937717105798512,-0.21053311836517552,-0.0161719624850629,-0.027723364260107818
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,7,150,-1.590249671971255,-0.2964977896015534,0.6200937045698115,-2.610303815988595,-0.5701955279539155,0.0103315280801194,0.0206630561602388,150,-1.7052611463891343,-0.31794137078553564,0.5957724862441959,-2.6853068862608365,-0.7252154065174321,0.004206196848757471,0.008412393697514942,0,-0.11501147441787918,-0.021443581183982263,-0.024321218325615623,-0.07500307027224151,-0.15501987856351662,-0.006125331231361929,-0.012250662462723858
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,8,149,-1.990959073833365,-0.3712089837107157,0.5886180114232876,-2.959235702624673,-1.0226824450420566,0.0007184765102956,0.0017243436247095,149,-2.105903282065829,-0.3926400232946951,0.5743202101884216,-3.0506600278257827,-1.1611465363058753,0.00024562825152230425,0.0005895078036535302,0,-0.1149442082324641,-0.021431039583979405,-0.014297801234866014,-0.09142432520110955,-0.13846409126381864,-0.0004728482587732957,-0.0011348358210559698
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,9,148,-2.2497573743153847,-0.4194612332775651,0.5294096501818347,-3.120636248864503,-1.3788784997662664,2.141920942962803e-05,6.425762828888411e-05,148,-2.3071194749666923,-0.4301562432183199,0.5380401356954717,-3.192195498185743,-1.4220434517476415,1.8028400627586865e-05,5.40852018827606e-05,0,-0.057362100651307646,-0.010695009940754785,0.008630485513636987,-0.07155924932124025,-0.043164951981375044,-3.390808802041166e-06,-1.0172426406123515e-05
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,10,148,-2.654117729329183,-0.4948531378176075,0.4186872987297114,-3.3428583357395585,-1.9653771229188075,2.3105004750620246e-10,9.242001900248099e-10,148,-2.7309239959370144,-0.5091734603922009,0.42697171002192225,-3.4332924589230767,-2.028555532950952,1.594683690553312e-10,8.492200930964009e-10,0,-0.0768062666078313,-0.014320322574593425,0.008284411292210858,-0.09043412318351818,-0.06317841003214464,-7.158167845087126e-11,-7.498009692840905e-11
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,11,147,-2.820976331014557,-0.5259634769346048,0.3854245753774704,-3.454999757510496,-2.186952904518618,2.4956559143789437e-13,1.4973935486273662e-12,147,-2.822931764935257,-0.5263280623487183,0.41943712689170254,-3.5129058386721077,-2.1329576911984063,1.6933008293306262e-11,2.0319609951967514e-10,0,-0.001955433920699967,-0.0003645854141135496,0.03401255151423216,-0.05790608116161167,0.05399521332021173,1.6683442701868366e-11,2.0169870597104778e-10
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c26_12m_pct,12,146,-3.0513546783550396,-0.5689169024013366,0.4030233659857888,-3.714328115401662,-2.388381241308417,3.699040583018787e-14,4.438848699622545e-13,146,-2.9859439771998266,-0.5567212524662118,0.47006710998703227,-3.7592043731284948,-2.2126835812711585,2.1230502327410022e-10,8.492200930964009e-10,0,0.06541070115521297,0.012195649935124786,0.06704374400124347,-0.04487625772683268,0.17569766003725862,2.1226803286827004e-10,8.487762082264386e-10
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,1,156,0.3665780997975626,0.0775687295371848,0.212772246532259,0.0165677542519965,0.7165884453431287,0.084912734142535,0.5783999393898752,156,0.3813666392348449,0.0806980169018529,0.22865353061264612,0.005231581377041994,0.7575016970926478,0.09533956056574332,0.6710251498614997,0,0.014788539437282255,0.0031292873646680958,0.01588128408038711,-0.011336172874954507,0.0409132517495191,0.010426826423208316,0.09262521047162453
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,2,155,0.396229408095223,0.0838430113751753,0.3686455021911153,-0.2101924430091617,1.0026512591996075,0.2824530778642158,0.5783999393898752,155,0.4334275072030393,0.09171421069282418,0.387297028041829,-0.20367610392576935,1.070531118331848,0.263093731688955,0.6710251498614997,0,0.037198099107816296,0.007871199317648875,0.01865152585071367,0.0065163390833923585,0.06787985913224048,-0.019359346175260805,0.09262521047162453
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,3,154,0.4839675923881733,0.1024086035130087,0.5327268512955085,-0.392368077992938,1.3603032627692846,0.3636287377182912,0.5783999393898752,154,0.5495818038083702,0.11629271449034091,0.5370546512785381,-0.3338730975448251,1.4330367051615656,0.3061538967319254,0.6710251498614997,0,0.06561421142019691,0.013884110977332206,0.004327799983029679,0.05849498044811291,0.07273344239228097,-0.057474840986365794,0.09262521047162453
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,4,153,0.5654279410151948,0.1196457918615316,0.6516966459873802,-0.5066130416340457,1.6374689236644353,0.3855999595932501,0.5783999393898752,153,0.6407657933412598,0.13558744657091032,0.6434514436757487,-0.41771183150534674,1.6992434181878664,0.31933460753814213,0.6710251498614997,0,0.07533785232606505,0.015941654709378722,-0.008245202311631505,0.088901210128699,0.06177449452343109,-0.06626535205510797,0.09262521047162453
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,5,152,0.209517553123481,0.044334373549601,0.7969198099259157,-1.10141553420465,1.5204506404516125,0.7926205618062612,0.8646769765159213,152,0.2831527096568317,0.05991573409655674,0.7891527932537076,-1.0150036352455172,1.5813090545591808,0.7197402688186285,0.8216819313830074,0,0.0736351565333507,0.01558136054695574,-0.007767016672208138,0.08641189895913293,0.060858414107568315,-0.07288029298763266,-0.04299504513291397
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,6,151,-0.1246684684360957,-0.0263801212218484,0.8349102978355439,-1.4980959083755654,1.248758971503374,0.8813014531785972,0.8813014531785972,151,-0.05689240730846509,-0.012038558107172088,0.8165854967181788,-1.4001755494098693,1.286390734792939,0.9444554471563686,0.9444554471563686,0,0.06777606112763061,0.014341563114676312,-0.01832480111736512,0.09792035896569606,0.03763176328956508,0.06315399397777144,0.06315399397777144
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,7,150,-0.4021598109892502,-0.0850978976283021,0.8805048536521352,-1.8505902952470128,1.0462706732685123,0.6478595495530436,0.7774314594636522,150,-0.27031287802952375,-0.05719879757647643,0.8597420285926106,-1.6845885150643682,1.1439627590053205,0.7532084371010901,0.8216819313830074,0,0.13184693295972644,0.027899100051825665,-0.020762825059524537,0.16600178018264455,0.09769208573680821,0.1053488875480465,0.04425047191935516
import_to_cpi,historical_targeted_hardware_12m_pct,uk_ipi_c261_12m_pct,8,149,-0.5911620980740897,-0.1250911959101401,0.9231838755452207,-2.1097995733459776,0.9274753771977984,0.5219441636362541,0.6959255515150055,149,-0.3859908511010912,-0.08167651027004261,0.8917102919341873,-1.8528542813328293,1.0808725791306468,0.6651122978857897,0.8216819313830074,0,0.2051712469729985,0.04341468564009748,-0.03147358361103347,0.2569452920131483,0.15339720193284845,0.14316813424953567,0.12575637986800192
