channel,outcome,impulse,horizon,n,impulse_standard_deviation,response_pp_per_one_sd,response_pp_per_one_unit,standard_error,lower_90,upper_90,p_value,r_squared,fdr_q
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c26_12m_pct,8,148,5.36947166913863,-1.9139020359986039,-0.3564414068890379,0.6570470965488323,-2.994744509821433,-0.8330595621757748,0.0035810749508547297,0.5950035405785179,0.00859457988205135
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c26_12m_pct,9,148,5.36947166913863,-2.2189254111050776,-0.4132483692685239,0.6150484415189543,-3.2306800974037575,-1.2071707248063976,0.0003088940740634715,0.5873493799279361,0.0009266822221904145
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c26_12m_pct,10,147,5.36947166913863,-2.6641803273557865,-0.4961717821640307,0.5078023789590876,-3.4995152407434857,-1.8288454139680872,1.5502388759830544e-07,0.6295446220595828,6.200955503932218e-07
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c26_12m_pct,11,146,5.36947166913863,-2.8694373226262835,-0.534398447265967,0.48065921819198765,-3.660121736552103,-2.078752908700464,2.37550890874134e-09,0.6212793870550998,1.4253053452448041e-08
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c26_12m_pct,12,145,5.36947166913863,-3.1379221317856523,-0.5844005379190385,0.48734789123169375,-3.9396094128617882,-2.3362348507095163,1.2044367925738232e-10,0.5876837249569051,1.4453241510885879e-09
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c261_12m_pct,1,155,4.736937487066577,0.5482578897687914,0.1157410017053674,0.22603324567268665,0.1764332006372219,0.9200825789003609,0.015284660322540616,0.8699856138216739,0.1543451021070207
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c261_12m_pct,2,154,4.736937487066577,0.6607713478335586,0.1394933645710304,0.33925360983402797,0.1026991596565826,1.2188435360105347,0.0514483673690069,0.802654923513923,0.1543451021070207
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c261_12m_pct,3,153,4.736937487066577,0.8725045021224185,0.1841916859795274,0.4426564464643299,0.14433464768859583,1.6006743565562411,0.04871647415497604,0.7172962753643883,0.1543451021070207
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c261_12m_pct,4,152,4.736937487066577,1.0794669406579727,0.22788287656429462,0.5057026407819584,0.2475860965716511,1.9113477847442941,0.03279465392236444,0.6628261636717507,0.1543451021070207
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c261_12m_pct,5,151,4.736937487066577,0.7418288109969327,0.15660515111765216,0.6717111414331967,-0.36313601666067585,1.8467936386545412,0.26942545339737856,0.5989454088956777,0.6427821305142446
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c261_12m_pct,6,150,4.736937487066577,0.42428430435712017,0.08956932733766451,0.6849905623993374,-0.7025251707897898,1.55109377950403,0.5356517754285371,0.565322891010228,0.6427821305142446
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c261_12m_pct,7,149,4.736937487066577,0.014970587318849121,0.0031603936846799924,0.6774988107145685,-1.0995149563066162,1.1294561309443143,0.982370701880288,0.5342921155962717,0.982370701880288
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c261_12m_pct,8,148,4.736937487066577,-0.05118982876369027,-0.010806524026009552,0.7098288964859165,-1.218858363483023,1.1164787059556425,0.942509808405252,0.4965384266445175,0.982370701880288
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c261_12m_pct,9,148,4.736937487066577,-0.4970082930763154,-0.10492186025956944,0.7811353601959872,-1.7819759605987142,0.7879593744460835,0.5246043781695242,0.45744583282163165,0.6427821305142446
import_to_cpi,historical_ex_games_12m_pct,uk_ipi_c261_12m_pct,10,147,4.736937487066577,-0.5697843133112832,-0.12028537739140213,0.9084744069631148,-2.064224712765607,0.9246560861430406,0.5305359599769803,0.4418876025337368,0.6427821305142446
