origin,scenario,scenario_label,target,target_label,target_group,horizon,baseline_forecast,scenario_forecast,incremental_annual_inflation_pp,approx_standard_error,approx_lower_90,approx_upper_90,model,model_n
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,11,2.8879553221413112,2.755941655914674,-0.13201366622663713,2.1697388958162147,-4.2499917201027495,2.606169045541701,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,retrenchment,Cyclical retrenchment,uk_ipi_c261_12m_pct,UK C261 components,import,12,3.0898436565098075,3.0556915054269016,-0.034152151082905924,2.452570847394176,-4.723793765284484,3.0200546283791305,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,0,-1.113851977928959,-1.113851977928959,0.0,0.0,0.0,0.0,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,1,-0.6415491680306197,-0.5193410455643154,0.1222081224663043,0.059743674280008964,0.020148344034638895,0.21389977652836759,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,2,0.4075717349508323,0.9673347959537666,0.5597630610029343,0.24859445813897166,0.10829603272957372,0.9475646548094501,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,3,1.1070755921169124,2.464381005655495,1.3573054135385827,0.5701711909987094,0.42435528189679966,2.2505980791822244,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,4,1.7135108763968863,4.2526129426733625,2.5391020662764765,1.033339378192838,0.825580490518118,4.170354083635917,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,5,2.1450793513269937,6.236755627703326,4.091676276376333,1.6349358049189855,1.4007870735857146,6.7347854628778325,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,6,2.445269020156591,8.443282833578692,5.9980138134221015,2.37521274771862,2.1746099012214315,9.898323435471383,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,7,2.621394951592395,10.5946914046792,7.973296453086805,3.137741526015506,2.9896505875983364,13.199817512649798,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,8,2.692400590001953,12.747221999778727,10.054821409776775,3.963377464203188,3.8934846735650006,16.681760611517625,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,9,2.671806271911243,14.856658333203086,12.184852061291842,4.842187484568433,4.7610633440338574,20.445569194935633,statsmodels_ardl_ar2_factor_lags_0_2,155
2026-06-01,intensifying,Intensifying pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,10,2.572783980809705,16.937947401183877,14.365163420374172,5.77842870784438,5.572589928646335,24.390187966047986,statsmodels_ardl_ar2_factor_lags_0_2,155
