origin,scenario,scenario_label,target,target_label,target_group,horizon,incremental_annual_inflation_pp,approx_standard_error,approx_lower_90,approx_upper_90
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,7,2.9897343083952865,2.099492688039113,-0.4639311634290544,6.443399780219627
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,8,2.571912237373656,2.3613064472291176,-1.3124368683182426,6.456261343065554
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,9,1.9995985476006504,2.504546531142638,-2.120380496128989,6.119577591330289
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,10,1.1089451679693074,2.6631574338988533,-3.2719488107943064,5.489839146732921
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,11,0.4421523773403551,2.7265790180391214,-4.043070107334,4.927374862014711
2026-06-01,sustained,Sustained pressure,uk_ipi_c26_12m_pct,UK C26 imports,import,12,-1.269822122255846,2.775526936303175,-5.835563932474569,3.2959196879628774
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,0,0.9613423560960489,0.2138360133426413,0.609582114147404,1.3131025980446938
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,1,1.0372608956645537,0.3946247277500117,0.38810321851578444,1.686418572813323
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,2,1.2959760648770964,0.5764602820054949,0.3476989009780572,2.2442532287761354
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,3,1.8684943963079825,0.6444367667281915,0.8083959150401074,2.9285928775758574
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,4,1.7591273661699645,0.9034876540896354,0.27289017519251413,3.245364557147415
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,5,2.0423545963988805,1.1079018873085702,0.21985599177628257,3.8648532010214787
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,6,2.9080916244749955,1.310177398833479,0.7528498033939224,5.063333445556069
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,7,2.8952797898624456,1.3278696010152853,0.7109342961923013,5.0796252835325895
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,8,2.9985580702387247,1.4770197885434142,0.5688605180848083,5.428255622392641
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,9,3.1543409614740057,1.5705860267052851,0.5707269475438115,5.7379549754042
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,10,3.036771113554271,1.632878664194133,0.3506857109549224,5.72285651615362
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,11,2.8355176978536445,1.6501861241430904,0.12096152363826063,5.550073872069028
2026-06-01,sustained,Sustained pressure,uk_ipi_c261_12m_pct,UK C261 components,import,12,2.0251227681309287,1.7478529466606783,-0.850095329125887,4.9003408653877445
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,0,0.5920877591490287,0.2929852407349292,0.11012703814007013,1.0740484801579873
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,1,0.8021183310581507,0.48921996463098877,-0.0026485107598258617,1.6068851728761273
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,2,1.5397350370104004,0.7543687790959495,0.2987983953975635,2.7806716786232375
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,3,2.1333870994007103,1.0346463462854278,0.4313938597611815,3.8353803390402392
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,4,2.9283945845172004,1.2565389837071346,0.8613879563189641,4.995401212715437
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,5,3.9384458298800205,1.515116680393749,1.4460788906323034,6.430812769127737
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,6,4.9097735037329695,1.5541755471275636,2.3531547287081276,7.466392278757811
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,7,6.46632516839294,1.5700811619554977,3.883541656976146,9.049108679809734
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,8,7.56395454766335,1.5174770113893696,5.067704863927837,10.060204231398863
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,9,8.708536985596423,1.4784103720985757,6.2765519234942655,11.14052204769858
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,10,10.13361053458779,1.353168534685911,7.907648295029466,12.359572774146114
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,11,11.265219985472854,1.3481522244512016,9.047509576250627,13.48293039469508
2026-06-01,sustained,Sustained pressure,historical_targeted_hardware_12m_pct,Targeted hardware CPI,basket,12,11.932232240774095,1.3803830932968746,9.661502052300737,14.202962429247453
2026-06-01,sustained,Sustained pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,0,0.7924792633883246,0.26565447169177026,0.3554776574553626,1.2294808693212866
2026-06-01,sustained,Sustained pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,1,1.028544797622769,0.44204745567834103,0.30137673303189805,1.75571286221364
2026-06-01,sustained,Sustained pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,2,1.8081717672023039,0.7109892086382291,0.6385945189924169,2.977749015412191
2026-06-01,sustained,Sustained pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,3,2.4721736509336623,0.972268113384343,0.872792604416418,4.071554697450907
2026-06-01,sustained,Sustained pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,4,3.290574282181291,1.1812544711521882,1.3474106771359415,5.23373788722664
2026-06-01,sustained,Sustained pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,5,4.335951616292762,1.4010266004204712,2.031262858601087,6.6406403739844375
2026-06-01,sustained,Sustained pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,6,5.180230952860394,1.4833707654817156,2.7400860436429717,7.620375862077816
2026-06-01,sustained,Sustained pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,7,6.676772177528037,1.5439003297623617,4.137056135068953,9.216488219987122
2026-06-01,sustained,Sustained pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,8,7.587075575273501,1.5455557541585079,5.044636359682755,10.129514790864247
2026-06-01,sustained,Sustained pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,9,8.690227946142327,1.5172597193658344,6.19433570778553,11.186120184499124
2026-06-01,sustained,Sustained pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,10,9.944399063810494,1.4287139338020178,7.594164642706174,12.294633484914813
2026-06-01,sustained,Sustained pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,11,11.032727689261451,1.3846701426943813,8.754945304529194,13.310510073993708
2026-06-01,sustained,Sustained pressure,historical_ex_games_12m_pct,Technology CPI ex-games,basket,12,11.530688003254577,1.3840766063577485,9.253881985796081,13.807494020713072
2026-06-01,sustained,Sustained pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,0,0.5128866449726714,0.14951576954586548,0.26693320406972276,0.7588400858756201
2026-06-01,sustained,Sustained pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,1,0.5735640751716657,0.29639587488065094,0.08599286099299491,1.0611352893503365
2026-06-01,sustained,Sustained pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,2,1.1705421997644976,0.4245648481204759,0.4721330246063147,1.8689513749226805
2026-06-01,sustained,Sustained pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,3,1.4724865732747785,0.6017799041404965,0.4825586309636617,2.462414515585895
2026-06-01,sustained,Sustained pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,4,2.0749654656028964,0.6916490218172217,0.9372028247135669,3.212728106492226
2026-06-01,sustained,Sustained pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,5,2.52923142187719,0.7961147728327923,1.2196226205672465,3.838840223187133
2026-06-01,sustained,Sustained pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,6,3.1005711562390665,0.8067076237030615,1.7735371152475303,4.427605197230603
2026-06-01,sustained,Sustained pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,7,3.860572186449451,0.8426435540023312,2.474423540115616,5.246720832783286
2026-06-01,sustained,Sustained pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,8,4.274542547838831,0.9129155148906435,2.772796525843722,5.776288569833939
2026-06-01,sustained,Sustained pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,9,5.139383376056234,0.9609703107271801,3.5585872149100224,6.720179537202445
2026-06-01,sustained,Sustained pressure,expanded_consumer_tech_12m_pct,Expanded consumer technology CPI,basket,10,5.639139593119636,0.9439437673292113,4.0863520958630835,7.191927090376189
