target,impulse,period,n,cumulative_effect,standard_error,z,p_value,r_squared
cpi_L7GM_12m_pct,uk_ipi_c26_noneu_12m_pct,from_2023,42,0.05818728165205124,0.145773678911184,0.3991617834348764,0.689774000482364,0.808491834275006
cpi_L7GM_12m_pct,uk_ipi_c261_12m_pct,full,124,0.3027850884258533,0.12717713124482802,2.380813951865004,0.017274434009053964,0.7150723300627386
cpi_L7GM_12m_pct,uk_ipi_c261_12m_pct,from_2023,42,0.24237416440148374,0.4047703531498927,0.5987942607835433,0.549310089985201,0.8009239354576424
cpi_L7GM_12m_pct,uk_ipi_c261_noneu_12m_pct,full,124,-0.08453463850784411,0.06248977525291297,-1.3527755247271995,0.176127354102254,0.7179754666253886
cpi_L7GM_12m_pct,uk_ipi_c261_noneu_12m_pct,from_2023,42,0.19754217405860125,0.6954224753884753,0.2840606696645096,0.7763638869880259,0.7798684697190532
cpi_L7GM_12m_pct,uk_ipi_c262_12m_pct,full,115,-0.17691950667200526,0.07195382467530459,-2.45879225281441,0.013940526068062925,0.6788064912756555
cpi_L7GM_12m_pct,uk_ipi_c262_12m_pct,from_2023,33,,,,,
cpi_L7GM_12m_pct,uk_ipi_c262_noneu_12m_pct,full,115,-0.07869481647902929,0.06376998454510789,-1.2340416426377565,0.21718738734631376,0.6852918278911482
cpi_L7GM_12m_pct,uk_ipi_c262_noneu_12m_pct,from_2023,33,,,,,
cpi_L7GP_12m_pct,uk_ipi_c26_12m_pct,full,124,0.27044688188048227,0.12853076572426655,2.104141217525027,0.03536613034109341,0.9090651451767486
cpi_L7GP_12m_pct,uk_ipi_c26_12m_pct,from_2023,42,0.03914505581405292,0.26206332238920804,0.14937250835855595,0.8812597034921743,0.9176178775404128
cpi_L7GP_12m_pct,uk_ipi_c26_noneu_12m_pct,full,124,0.1400550893920953,0.1073319583548592,1.3048777972451355,0.19193446265457487,0.9092543878609475
cpi_L7GP_12m_pct,uk_ipi_c26_noneu_12m_pct,from_2023,42,0.15731016521205665,0.2759432196029571,0.5700816473708016,0.5686223221641941,0.906776296335886
cpi_L7GP_12m_pct,uk_ipi_c261_12m_pct,full,124,0.5325017816072757,0.16156158630637213,3.2959677716798534,0.0009808326637245697,0.8975766049858559
cpi_L7GP_12m_pct,uk_ipi_c261_12m_pct,from_2023,42,0.5255823931935355,0.2961471032080469,1.7747342030366158,0.07594178501180755,0.8943872725464564
cpi_L7GP_12m_pct,uk_ipi_c261_noneu_12m_pct,full,124,0.07941812055345401,0.07402634543849565,1.0728358948833707,0.28334475252312863,0.8926767608212981
cpi_L7GP_12m_pct,uk_ipi_c261_noneu_12m_pct,from_2023,42,1.4852451179349415,0.3319301950398693,4.47457067820101,7.656499755140787e-06,0.9121919674450436
cpi_L7GP_12m_pct,uk_ipi_c262_12m_pct,full,115,0.26296363428902214,0.13728954202585886,1.9153945042623293,0.05544221149327181,0.9119777576364095
cpi_L7GP_12m_pct,uk_ipi_c262_12m_pct,from_2023,33,,,,,
cpi_L7GP_12m_pct,uk_ipi_c262_noneu_12m_pct,full,115,0.22770804255770039,0.1159955138552709,1.9630762862244366,0.04963731053538585,0.9121287538642416
cpi_L7GP_12m_pct,uk_ipi_c262_noneu_12m_pct,from_2023,33,,,,,
cpi_L7GQ_12m_pct,uk_ipi_c26_12m_pct,full,124,0.006850567318737566,0.14458996769808075,0.04737927138238443,0.9622109495047295,0.5559591806538873
cpi_L7GQ_12m_pct,uk_ipi_c26_12m_pct,from_2023,42,-0.7318251269712583,0.3229898999479944,-2.2657833173393094,0.02346465330251967,0.35385965126927754
cpi_L7GQ_12m_pct,uk_ipi_c26_noneu_12m_pct,full,124,-0.06685937309654985,0.10559886780755087,-0.6331447910824007,0.5266390947424391,0.5537547202708901
cpi_L7GQ_12m_pct,uk_ipi_c26_noneu_12m_pct,from_2023,42,-0.09003404041777555,0.23837342337171036,-0.3777016713703856,0.7056522260490543,0.36265281268695326
cpi_L7GQ_12m_pct,uk_ipi_c261_12m_pct,full,124,-0.0341510769284904,0.2520829673047388,-0.1354755432056056,0.8922358996695258,0.5849844571208145
cpi_L7GQ_12m_pct,uk_ipi_c261_12m_pct,from_2023,42,1.1776209818815633,0.7320296764971236,1.6087066135305659,0.10768050900115135,0.4907552649962934
cpi_L7GQ_12m_pct,uk_ipi_c261_noneu_12m_pct,full,124,-0.08494409446085754,0.13592490895965553,-0.6249339809090486,0.532014388768976,0.567135863759246
