date,kr_epi_tech,kr_epi_tech_12m_pct,kr_epi_all,kr_epi_all_12m_pct,coverage_version,release_date,source_page,source_file,local_file
2023-01-01,69.26,-18.3,114.28,-1.3,computers_electronic_optical,2023-02-15,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10075553&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/2b148a9832b7676c1cb35335ec9960ee/3/202302140504434772.xlsx,202301.xlsx
2023-02-01,69.5,-18.1,115.17,-2.7,computers_electronic_optical,2023-03-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10076018&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/8e862a690d47dcbc3ae90b4134078734/3/202303130507471542.xlsx,202302.xlsx
2023-03-01,70.96,-17.5,117.52,-6.4,computers_electronic_optical,2023-04-13,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10076809&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/ebeb19be820a77347b332482a572e265/3/202304120515059562.xlsx,202303.xlsx
2023-04-01,68.45,-20.7,117.92,-7.5,computers_electronic_optical,2023-05-16,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10077377&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/518531ca940c9b9dc15e816851e61834/3/202305150528436952.xlsx,202304.xlsx
2023-05-01,69.35,-20.9,116.66,-11.2,computers_electronic_optical,2023-06-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10077864&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/0631dd35c66ae964497610de00b9de55/3/202306130431521962.xlsx,202305.xlsx
2023-06-01,67.62,-21.5,113.13,-14.7,computers_electronic_optical,2023-07-13,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10078371&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/01685465a0ed4b955557b41be41d2aa9/3/202307120507436652.xlsx,202306.xlsx
2023-07-01,66.74,-21.5,112.81,-12.8,computers_electronic_optical,2023-08-17,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10078972&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/7394c2313ac92107813834ce1ceb03d4/3/202308160243059952.xlsx,202307.xlsx
2023-08-01,68.61,-19.1,117.52,-7.9,computers_electronic_optical,2023-09-13,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10079480&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/7531187a9dd934db053aaa1090b03b20/3/202309120439261292.xlsx,202308.xlsx
2023-09-01,69.23,-20.5,119.56,-8.9,computers_electronic_optical,2023-10-17,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10079989&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/91ca6e42668d2382921c5d9629b04d1c/3/202310160436242922.xlsx,202309.xlsx
2023-10-01,71.69,-14.0,120.17,-9.5,computers_electronic_optical,2023-11-14,https://www.bok.or.kr/eng/bbs/E0000634/view.do?nttId=10080500&pageUnit=200&searchCnd=1&searchKwd=Export+and+Import+Price+Indexes&depth=400007&pageIndex=1&programType=newsDataEng&menuNo=400423&oldMenuNo=400423,https://www.bok.or.kr/fileSrc/eng/63bd38c6d9b03e001e3162ec26aedde3/3/202311130500189382.xlsx,202310.xlsx
